sigla;num_oa
ANGRA DOS REIS;3022
APERIBÉ;3017
ARARUAMA;3018
AREAL;3019
ARMAÇÃO DOS BÚZIOS;3020
ARRAIAL DO CABO;3021
BARRA DO PIRAÍ;3026
BARRA MANSA;3025
BELFORD ROXO;3027
BOM JARDIM;3023
BOM JESUS DO ITABAPOANA;3024
CABO FRIO;3034
CACHOEIRAS DE MACACU;3037
CAMBUCI;3028
CAMPOS DOS GOYTACAZES;3035
CANTAGALO;3029
CARAPEBUS;3030
CARDOSO MOREIRA;3038
CARMO;3031
CASIMIRO DE ABREU;3033
COMENDADOR LEVY GASPARIAN;3036
CONCEIÇÃO DE MACABU;3039
CORDEIRO;3032
DUAS BARRAS;3040
DUQUE DE CAXIAS;3041
ENGENHEIRO PAULO DE FRONTIN;3042
GUAPIMIRIM;3043
IGUABA GRANDE;3050
ITABORAÍ;3044
ITAGUAÍ;3045
ITALVA;3046
ITAOCARA;3047
ITAPERUNA;3048
ITATIAIA;3049
JAPERI;3051
LAJE DO MURIAÉ;3052
MACAÉ;3052
MACUCO;3054
MAGÉ;3055
MANGARATIBA;3056
MARICÁ;3057
MENDES;3058
MESQUITA;3059
MIGUEL PEREIRA;3061
MIRACEMA;3060
NATIVIDADE;3062
NILÓPOLIS;3063
NITERÓI;3064
NOVA FRIBURGO;3065
NOVA IGUAÇU;3066
PARACAMBI;3067
PARAÍBA DO SUL;3075
PARATY;3068
PATY DO ALFERES;3073
PETRÓPOLIS;3069
PINHEIRAL;3070
PIRAÍ;3071
PORCIÚNCULA;3072
PORTO REAL;3074
QUATIS;3076
QUEIMADOS;3077
QUISSAMÃ;3078
RESENDE;3079
RIO BONITO;3080
RIO CLARO;3081
RIO DAS FLORES;3082
RIO DAS OSTRAS;3083
SANTA MARIA MADALENA;3097
SANTO ANTÔNIO DE PÁDUA;3088
SAPUCAIA;3085
SAQUAREMA;3086
SÃO GONÇALO;3091
SEROPÉDICA;3087
SILVA JARDIM;3092
SUMIDOURO;3084
SÃO FIDÉLIS;3089
SÃO FRANCISCO DE ITABAPOANA;3090
SÃO JOSÉ DO VALE DO RIO PRETO;3096
SÃO JOÃO DA BARRA;3093
SÃO JOÃO DE MERITI;3094
SÃO PEDRO DA ALDEIA;3098
SÃO SEBASTIÃO DO ALTO;3099
SÃO JOSÉ DE UBÁ;3095
TANGUÁ;3100
TERESÓPOLIS;3101
TRAJANO DE MORAES;3102
TRÊS RIOS;3103
VALENÇA;3104
VARRE-SAI;3107
VASSOURAS;3105
VOLTA REDONDA;3106
